primarytext,header2,header3,img links,cta
"All your daily essentials, delivered to your doorstep in minutes. Just sit back and order on Instamart!",,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/288896675_398398865637860_1937979392844345645_n.jpg?stp=dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=HrDu26U6roEAX962eFC&_nc_ht=scontent.fblr22-1.fna&oh=00_AT8sS1mk0H2_wsrSgwrlsyvfDd6oqof3NevmB7CfHzRLWw&oe=62B2B49E,
"All your daily essentials, delivered to your doorstep in minutes. Just sit back and order on Instamart!",,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/288962134_2343497335948985_6667861499420937752_n.jpg?stp=dst-jpg_s600x600&_nc_cat=107&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=WcTP6bPq9EIAX_eCdR4&_nc_ht=scontent.fblr22-1.fna&oh=00_AT_YdR5_wKuM03zF0mCQbnTcVw_qRBw_LyrMlL1xqnpUrw&oe=62B33DAF,
"All your daily essentials, delivered to your doorstep in minutes. Just sit back and order on Instamart!",,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/289186975_554955686337114_3406213958461428152_n.jpg?stp=dst-jpg_s600x600&_nc_cat=109&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=hXJRf132K8sAX9tplB1&_nc_ht=scontent.fblr22-1.fna&oh=00_AT-SGTtW-74TZ33SFkF8CVPiU8lSM3AUvH5vyKqEdyrX2w&oe=62B20C4C,
"While some things are worth waiting for, others aren’t. Click to get your groceries in an instant.",Wait for webisodes. Not for groceries.,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/288699808_788132649266922_4978127862746073077_n.jpg?stp=dst-jpg_s600x600&_nc_cat=110&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=od-4vff7p9UAX-1djzw&_nc_ht=scontent.fblr22-1.fna&oh=00_AT8YWovefgH6Z7AcjYAd56gu3pkR-p2GhplE5jFmVSKuFQ&oe=62B1A291,Install Now
"Summer is hot.

But it can also be delicious.",Get fresh mangoes in minutes.,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/288672397_513779590540448_1344700059670578131_n.jpg?stp=dst-jpg_s600x600&_nc_cat=103&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=WPdt-PtYYvYAX-31OLW&_nc_ht=scontent.fblr22-1.fna&oh=00_AT_GQFeVyw72Yt1tb8zgn1lEim31vzhDVgNTOcK8YpOJAA&oe=62B25EE8,Install Now
Name a grocery item and Swiggy Instamart will bring it over in minutes.,Get groceries in minutes.,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/289149123_1260021574803404_6772131176862767256_n.jpg?stp=dst-jpg_s600x600&_nc_cat=104&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=Zet2uXtvJZ8AX9q-JM0&_nc_ht=scontent.fblr22-1.fna&oh=00_AT-_V30yi60QEzpw-gYylWzJvUjQI4fkar5KKuipyDbJnQ&oe=62B2A8BC,Install Now
Turn summer green with envy.,Get tender coconut in minutes.,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/288519295_569494654662429_7818861329447353156_n.jpg?stp=dst-jpg_s600x600&_nc_cat=104&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=zFHI7cPPMuwAX8kmdag&_nc_ht=scontent.fblr22-1.fna&oh=00_AT8nZLOXyWxhlt0GYNZ1siuNRYazoDh5fpADaJgT-1roQg&oe=62B18E3D,Install Now
Just for our favourite foodie 👉  Use code WELCOMEBACK and get 60% off up to ₹100 + Paytm cashback of ₹30.,Pizza Galleria (Model Town),₹199,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/287092699_1101382547397229_5797981871815189314_n.jpg?stp=dst-jpg_s600x600&_nc_cat=107&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=ik6F6FwAAyAAX-7n2Nh&_nc_ht=scontent.fblr22-1.fna&oh=00_AT86dv7Cad09VV2w8CoVLKE9wi-Ewer2siVzwLhO-HgNpA&oe=62B356A3,Order Now
Just for our favourite foodie 👉  Use code WELCOMEBACK and get 60% off up to ₹100 + Paytm cashback of ₹30.,Kutchi King,₹200,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/286876596_1097442160839616_8271346178281150489_n.jpg?stp=dst-jpg_s600x600&_nc_cat=102&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=BBJmWdRwV9gAX9n0Sps&_nc_ht=scontent.fblr22-1.fna&oh=00_AT-XwEw-DXv4l1naz6TUC7EgOFH6cBpJ3FsxHGLA5vWx7Q&oe=62B2E535,Order Now
Just for our favourite foodie 👉  Use code WELCOMEBACK and get 60% off up to ₹100 + Paytm cashback of ₹30,Get the best offers on Swiggy,,,Order Now
Just for our favourite foodie 👉  Use code WELCOMEBACK and get 60% off up to ₹100 + Paytm cashback of ₹30,Get the best offers on Swiggy,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/288288983_3531612090430786_6431621311102055837_n.jpg?stp=dst-jpg_s600x600&_nc_cat=101&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=kgfVnddeq_oAX_Nuf5v&_nc_ht=scontent.fblr22-1.fna&oh=00_AT_WB3R7z1e6CKnTI5SYqzyC75P1G9Do-HHO0koPK65OnA&oe=62B2881B,Order Now
"Swiggy has changed, Only for the better, Introducing Swiggy Instamart! Get groceries in minutes Use code: TRYIM",,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/287831004_3290879937816484_9033895560771612059_n.jpg?stp=dst-jpg_s600x600&_nc_cat=107&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=-5cXlJ7PpnMAX9hAU1H&_nc_ht=scontent.fblr22-1.fna&oh=00_AT86N1ga7bCTBTBvTWjb6qaUjoKwUV8NODWmwxXIyqEPBw&oe=62B1C85D,
"Swiggy has changed, Only for the better, Introducing Swiggy Instamart! Get groceries in minutes Use code: TRYIM",Get the best offers on Swiggy,,,Order Now
